dof_c_s,Case Created by hrs,Case Number
Friday,8,3.1666666666666665
Friday,9,8.333333333333334
Friday,10,15.4
Friday,11,13.2
Friday,12,7.5
Friday,13,9.6
Friday,14,11.0
Friday,15,8.4
Friday,16,12.4
Friday,17,11.166666666666666
Friday,18,7.75
Friday,19,1.0
Friday,20,1.0
Friday,21,5.0
Friday,22,1.5
Monday,8,2.75
Monday,9,12.714285714285714
Monday,10,14.166666666666666
Monday,11,11.0
Monday,12,19.2
Monday,13,10.333333333333334
Monday,14,13.8
Monday,15,16.166666666666668
Monday,16,16.0
Monday,17,20.0
Monday,18,14.5
Monday,19,5.5
Monday,20,2.0
Monday,22,1.0
Saturday,7,1.0
Saturday,8,1.5
Saturday,9,5.0
Saturday,10,5.8
Saturday,11,6.5
Saturday,12,6.2
Saturday,13,5.4
Saturday,14,7.0
Saturday,15,9.2
Saturday,16,8.6
Saturday,17,9.2
Saturday,18,6.333333333333333
Saturday,21,1.0
Sunday,8,1.5
Sunday,9,2.1666666666666665
Sunday,10,3.4
Sunday,11,3.25
Sunday,12,2.2
Sunday,13,2.0
Sunday,14,3.0
Sunday,15,2.0
Sunday,16,3.3333333333333335
Sunday,17,1.3333333333333333
Sunday,19,1.0
Thursday,8,2.25
Thursday,9,13.2
Thursday,10,12.5
Thursday,11,13.166666666666666
Thursday,12,14.0
Thursday,13,10.0
Thursday,14,12.6
Thursday,15,14.4
Thursday,16,15.4
Thursday,17,20.6
Thursday,18,12.75
Thursday,19,2.0
Thursday,20,3.0
Thursday,22,1.0
Thursday,23,1.0
Tuesday,6,1.0
Tuesday,8,2.3333333333333335
Tuesday,9,13.166666666666666
Tuesday,10,15.0
Tuesday,11,10.0
Tuesday,12,12.833333333333334
Tuesday,13,11.8
Tuesday,14,14.166666666666666
Tuesday,15,17.0
Tuesday,16,14.0
Tuesday,17,20.166666666666668
Tuesday,18,11.4
Tuesday,19,1.5
Tuesday,20,1.0
Tuesday,21,1.0
Tuesday,22,1.0
Wenesday,1,1.0
Wenesday,8,2.0
Wenesday,9,13.2
Wenesday,10,15.6
Wenesday,11,7.428571428571429
Wenesday,12,10.2
Wenesday,13,8.4
Wenesday,14,11.666666666666666
Wenesday,15,15.4
Wenesday,16,12.666666666666666
Wenesday,17,22.8
Wenesday,18,7.666666666666667
Wenesday,19,7.0
Wenesday,23,2.0
Wenesday,24,1.0
